Year,Nominal_GDP,PFCE,GFCE,GFCF,GCF,Export of goods and services,Less imports of goods and services,Real_GDP,Deflator,Nominal_Growth_%,Real_Growth_%,Growth_Gap_%,PFCE_pctGDP,GFCE_pctGDP,GFCF_pctGDP,GCF_pctGDP,Export of goods and services_pctGDP,Less imports of goods and services_pctGDP,Net_Exports,Net_Exports_pctGDP,CPI_Combined,CPI_YoY_%
2012,8736328.71137281,4910447.272174998,968375.0,2997732.8703773078,3403007.9392938353,2143931.0,2715554.0,8736328.71137281,100.0,,,,56.20721740681138,11.084461585555786,34.3134166469138,38.95237978927986,24.540411319563397,31.08346869394848,-571623.0,-6.543057374385085,100.0,
2013,9944013.104152925,5614484.479666422,1062404.0637172873,3324973.130965624,3847121.5357150966,2439707.0,3108428.0,9213016.662272772,107.93438749409385,13.82370596023903,5.456387535869811,8.36731842436922,56.46095214136072,10.683856231782265,33.43693432560958,38.68781643206424,24.53443066141077,31.259291067323964,-668721.0,-6.724860405913198,109.89727517678509,9.897275176785092
2014,11233521.611639312,6475649.384440681,1156509.0395031953,3515620.5517731984,3794135.189453348,2856781.300215655,3191810.8986064103,9801369.876257913,114.61175073956278,12.967687129734863,6.386108215720943,6.58157891401392,57.64576424307681,10.295160141988863,31.29580084779988,33.7751180851618,25.430861300481922,28.41327064612847,-335029.59839075524,-2.9824093456465453,120.26797634562581,9.436722750548654
2015,12467959.292554552,7247340.105879591,1301761.7766254954,3750391.7116035256,4179778.730773832,2863636.278176366,3235961.9257859457,10527673.634424318,118.43033632602094,10.988875292999921,7.4102270125092184,3.578648280490703,58.12771710128586,10.440856808081367,30.080237058867638,33.524160872660666,22.96796300807971,25.954222738907674,-372325.64760957984,-2.9862597308279653,127.39615854436389,5.926916221033873
2016,13771873.878856417,8126408.329377808,1436171.0441892077,3957092.3708435986,4422658.573889613,2728647.4219988342,3044923.4019463677,11369493.135959458,121.13006018974323,10.45812354456852,7.996253785665286,2.4618697589032346,59.00728107780642,10.428290709183171,28.733144128765332,32.113702265888456,19.81318915640124,22.109724709439547,-316275.97994753346,-2.2965355530383076,133.64894958946334,4.908147244425742
2017,15391668.563074222,9126533.428788317,1586657.5998984417,4338671.059666431,4918077.045853261,2948772.1065294454,3220591.4273893153,12308193.223268416,125.05221752593671,11.761614276069077,8.25630550178209,3.505308774286986,59.2952829733065,10.308548377301689,28.188438712065505,31.95285180225424,19.158235472947833,20.9242514168721,-271819.32085986994,-1.7660159439242675,139.69629248880287,4.524796429687972
2018,17090042.361130927,10036152.956306718,1840118.8624815766,4815600.283344833,5791572.5380938165,3211520.5714411773,3751389.4170717667,13144582.144739117,130.01586640752143,11.034370907201275,6.79538341898569,4.238987488215585,58.725149676238594,10.767198954794209,28.17781361558991,33.88857918378244,18.791764839304097,21.950732115233446,-539868.8456305894,-3.158967275929349,144.70745816987062,3.587185881450239
2019,18899668.44458577,11205296.437899115,2045552.4164204951,5568422.194191573,6396052.772275743,3766293.5333856903,4477169.056008625,13992913.936278902,135.06599505043272,10.58877470994808,6.453851344976491,4.134923364971589,59.28832281239897,10.82321852585985,29.46306815126575,33.84214273932427,19.92782859883782,23.68914073353075,-710875.5226229345,-3.761312134692927,149.64716302046568,3.413580000000005
2020,20103592.85659462,12245357.270463368,2211933.0885373456,5720385.742270116,6106405.916389934,3752187.824623799,4270232.028957966,14534640.775489697,138.31503074018897,6.370082181805348,3.8714369407095495,2.498645241095798,60.91128763805273,11.002675513356117,28.4545443348135,30.374699487543783,18.664264897271643,21.241138633372163,-518044.20433416683,-2.576873736100519,156.78427813565241,4.769295301783072
2021,19854096.006496992,12130481.132317286,2305547.4503112515,5424996.9986913055,5597592.8132523,3709236.906006037,3787293.5763047324,13694869.244348833,144.97470295081317,-1.2410560235544321,-5.777724706874087,4.536668683319656,61.098128710306156,11.612452410609837,27.324321373866866,28.193642316530358,18.682476929658435,19.075628399627917,-78056.67029869556,-0.3931514699694841,166.44930713193637,6.164539653600731
2022,23597398.52829038,14382703.986636588,2472152.7246411773,6979646.681544228,7648090.519198231,5049644.672957633,5669022.611270153,15021846.266426418,157.08720559223258,18.85405671740703,9.68959249191197,9.16446422549506,60.95037963355788,10.476378240073245,29.578034515866186,32.410735912389285,21.399158330541095,24.023930453493385,-619377.9383125203,-2.624772122952292,175.61411281602818,5.506064183750148
2023,26890472.571222488,16527861.734231519,2757628.1565690013,8396037.645232957,8771573.196929723,6252449.309986534,7213027.47463363,16164913.37522836,166.35086094819613,13.955241883905622,7.609364977703703,6.3458769062019185,61.46363434281636,10.255037910788321,31.223094436124516,32.61963200422458,23.25154120451475,26.823728945369417,-960578.1646470968,-3.5721877408546683,187.29790017937327,6.653102746693773
2024,30122955.89765176,18130431.44515767,3104297.7974379277,9165224.288880633,9468115.38707773,6460981.773897266,7092192.265542794,17650590.948238384,170.66259133186804,12.020924206027516,9.19075493028454,2.8301692757429766,60.18808880097664,10.305422243372615,30.426045571427835,31.431561428590804,21.448697783343807,23.544144504409896,-631210.491645528,-2.0954467210660894,197.33809665980132,5.36054940862265
