Year,yhat,yhat_lower,yhat_upper,y
2012,100.09196383985261,99.7302218102465,100.4793992732648,100.0
2013,107.84240579343881,107.496148131728,108.22395618691358,107.93438749409385
2014,114.61175186209353,114.2285959998407,114.97553168724453,114.61175073956278
2015,118.24703352561328,117.88990213894853,118.61936531938404,118.43033632602094
2016,121.31336695797923,120.9640377957199,121.67539795397504,121.13006018974323
2017,125.23600997510881,124.89720785252938,125.57832063204552,125.05221752593671
2018,130.11940112980972,129.7658950996139,130.4846394528809,130.01586640752143
2019,134.40045337411868,134.04384352032693,134.7709707355752,135.06599505043272
2020,138.69323452868602,138.33253321416606,139.06230593632074,138.31503074018897
2021,140.85135401622804,140.12159034871036,141.6327283999073,144.97470295081317
2022,145.13240626053704,142.78648307918206,147.4354827490396,157.08720559223258
2023,149.413458504846,144.86227205213686,154.3295852866684,166.35086094819613
