Year,GDP_Deflator,Deflator_YoY_pct,CPI_Combined,PI_PFCE,PI_GFCE,PI_GFCF,CPI_YoY_pct,PI_PFCE_YoY_pct,PI_GFCE_YoY_pct,PI_GFCF_YoY_pct,Nominal_Growth_pct,Real_Growth_pct,Growth_Gap_pct
2012,100.0,,100.0,100.00000028519786,100.0,100.0,,,,,,,
2013,107.93438749409385,7.934387494093853,109.89727517678509,108.4067595026603,109.0469510574829,105.6958928956864,9.897275176785092,8.406759193486547,9.0469510574829,5.695892895686394,13.82370596023903,5.456387535869811,8.36731842436922
2014,114.61175073956278,6.186502189429022,120.26797634562581,116.52450065187654,118.03218940263623,110.03766911586344,9.436722750548654,7.488224153602752,8.239788694703499,4.107800313927079,12.967687129734863,6.386108215720943,6.58157891401392
2015,118.43033632602094,3.331757487184106,127.39615854436389,122.57332782866,123.48913253029343,114.40759684658508,5.926916221033873,5.191034626146718,4.623266886156152,3.9713016150136227,10.988875292999921,7.4102270125092184,3.578648280490703
2016,121.13006018974323,2.279588108481234,133.64894958946334,127.34485372485204,126.78035639481008,113.31287621524989,4.908147244425742,3.892792976023274,2.6651931203009127,-0.9568600875369815,10.45812354456852,7.996253785665286,2.4618697589032346
2017,125.05221752593671,3.2379719204709723,139.69629248880287,132.2640765014802,132.04561787688175,114.55032609910899,4.524796429687972,3.862914466301781,4.153057801537474,1.092064666603676,11.761614276069077,8.25630550178209,3.505308774286986
2018,130.01586640752143,3.9692609853601457,144.70745816987062,136.90526086199495,136.82782038694907,117.94041154015109,3.587185881450239,3.509028666950864,3.621629090733025,2.959472536209984,11.034370907201275,6.79538341898569,4.238987488215585
2019,135.06599505043272,3.8842402719389435,149.64716302046568,142.73455847056167,142.55265082875007,122.63871507823588,3.413580000000005,4.257906213292162,4.18396670034733,3.983624846421119,10.58877470994808,6.453851344976491,4.134923364971589
2020,138.31503074018897,2.4055171611056414,156.78427813565241,148.31679220872354,148.292042889331,124.5571547940808,4.769295301783072,3.91091954042313,4.026155969190426,1.5643018720646884,6.370082181805348,3.8714369407095495,2.498645241095798
2021,144.97470295081317,4.814857918900883,166.44930713193637,155.1309919159603,155.76714477087043,127.14783559397667,6.164539653600731,4.5943548304680615,5.040797696150179,2.079913276903933,-1.2410560235544321,-5.777724706874087,4.536668683319656
2022,157.08720559223258,8.354907714850723,175.61411281602818,164.70178178571913,166.99290672391135,139.1958461865875,5.506064183750148,6.1694892500549825,7.206758504531696,9.475592357768425,18.85405671740703,9.68959249191197,9.16446422549506
2023,166.35086094819613,5.8971418589049085,187.29790017937327,176.11041406851004,178.6038484415417,154.4035050770698,6.653102746693773,6.926842053010573,6.952955035884645,10.92536832607558,13.955241883905622,7.609364977703703,6.3458769062019185
2024,170.66259133186804,2.5919495451331986,197.33809665980132,183.0104386336209,185.92224979354103,154.94129832184512,5.36054940862265,3.9180105285691047,4.097560839734493,0.3483037800902755,12.020924206027516,9.19075493028454,2.8301692757429766
